id,fresh,rotten,% Positive,year,rating,genre,director,theater_date,dvd_date,box_office,runtime,studio
3,103,60,63.19,2017,R,Drama|Science Fiction and Fantasy,David Cronenberg,2012,2013,"600,000",108 minutes,Entertainment One
5,18,5,78.26,2017,R,Drama|Musical and Performing Arts,Allison Anders,1996,2000,,116 minutes,
6,32,25,56.14,2013,R,Drama|Mystery and Suspense,Barry Levinson,1994,1997,,128 minutes,
8,56,19,74.67,2013,PG,Drama|Kids and Family,Jay Russell,2000,2000,,95 minutes,Warner Bros. Pictures
10,50,58,46.3,2013,PG-13,Comedy,Jake Kasdan,2002,2002,"41,032,915",82 minutes,Paramount Pictures
13,61,34,64.21,2013,R,Drama,Ray Lawrence,2006,2007,"224,114",123 minutes,Sony Pictures Classics
14,6,36,14.29,2012,R,Drama,Taylor Hackford,2010,2010,"134,904",117 minutes,
15,10,35,22.22,2012,PG-13,Action and Adventure|Mystery and Suspense|Science Fiction and Fantasy,Frank Marshall,1995,1999,,108 minutes,
17,66,20,76.74,2012,,,,,,,,
19,6,8,42.86,2012,NR,Documentary|Special Interest,,2002,2003,,90 minutes,Seventh Art Releasing
20,3,1,75.0,2012,PG-13,Classics|Comedy|Drama,William Friedkin,1968,2008,,97 minutes,
21,2,12,14.29,2012,R,Comedy,Peter Baldwin,1997,1999,,106 minutes,
23,213,20,91.42,2012,R,Drama,,2013,2014,"99,165,609",129 minutes,Sony Pictures
24,1,6,14.29,2012,PG,Action and Adventure|Comedy|Drama,Rick Rosenthal,1987,2005,,98 minutes,
25,4,33,10.81,2012,PG-13,Action and Adventure|Drama|Science Fiction and Fantasy,Carl Erik Rinsch,2013,2014,"20,518,224",127 minutes,Universal Pictures
26,75,43,63.56,2012,R,Art House and International|Comedy|Drama|Musical and Performing Arts,Jim Jarmusch,2004,2004,"1,971,135",96 minutes,MGM
28,0,1,0.0,2012,G,Classics|Comedy|Musical and Performing Arts|Romance,,1966,2003,,90 minutes,
33,17,10,62.96,2012,R,Action and Adventure|Drama|Mystery and Suspense,Keith Gordon,1996,2000,,114 minutes,
34,58,47,55.24,2012,PG-13,Action and Adventure|Mystery and Suspense,John Woo,2000,2000,,123 minutes,Paramount Pictures
35,35,9,79.55,2012,R,Drama,Michael Polish,1999,2000,,110 minutes,
38,1,4,20.0,2012,R,Art House and International|Classics|Horror|Mystery and Suspense,Roy Ward Baker,1970,2001,,96 minutes,
40,56,43,56.57,2012,R,Drama,John Sayles,2003,2004,"312,136",95 minutes,
41,80,3,96.39,2012,R,Drama,Ken Loach,2003,2003,"201,010",106 minutes,Lions Gate Films
43,8,2,80.0,2012,NR,Classics|Comedy|Musical and Performing Arts,William Wellman,,,,75 minutes,
44,7,5,58.33,2012,R,Comedy,Pauly Shore,2003,2005,,82 minutes,Regent Releasing
45,1,24,4.0,2012,PG,Comedy|Kids and Family,Steve Boyum,,,,92 minutes,
46,43,2,95.56,2012,R,Comedy|Musical and Performing Arts,Peter Cattaneo,1997,1999,,91 minutes,
49,1,4,20.0,2012,R,Action and Adventure|Comedy|Mystery and Suspense,Andy Sidaris,,,,100 minutes,
50,1,0,100.0,2012,R,Action and Adventure|Drama,Ivan Nagy,,,,99 minutes,
51,14,1,93.33,2012,NR,Mystery and Suspense,Terence Young,1967,2003,,108 minutes,
52,45,11,80.36,2012,PG,Comedy|Drama|Romance,Jon Turteltaub,1995,1998,,103 minutes,
54,95,11,89.62,2012,NR,Comedy|Drama,Paolo Sorrentino,2013,2014,,142 minutes,Janus Films
56,13,14,48.15,2012,R,Drama,Allen Hughes|Albert Hughes,1995,1998,,119 minutes,
57,182,14,92.86,2012,R,Comedy,,2012,2013,"132,088,910",122 minutes,The Weinstein Company
58,25,0,100.0,2012,PG,Comedy|Romance,Woody Allen,1984,2001,,86 minutes,
59,9,2,81.82,2012,NR,Art House and International|Drama,Yimou Zhang,,,,91 minutes,
60,0,4,0.0,2012,R,Horror,Bill Froehlich,1987,2001,,95 minutes,
61,37,46,44.58,2012,R,Action and Adventure|Drama|Horror|Mystery and Suspense,James Wong,2006,2006,"54,100,000",93 minutes,New Line Cinema
63,12,24,33.33,2012,R,Action and Adventure|Drama|Mystery and Suspense,,1997,1998,,111 minutes,
64,6,25,19.35,2012,PG-13,Comedy,Pat Proft,1998,1998,,86 minutes,
65,166,12,93.26,2012,PG,Comedy|Kids and Family|Romance,Kevin Lima,2007,2008,"127,706,877",108 minutes,Walt Disney Pictures
